Baylor Scott & White Emergency Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax ID: 26-2978009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated 1/13/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charge Code,ChargeDescription,Revenue Code,CPT Code, Charge , Self Pay Median Charge , Minimum Reimbursment , Maximum Reimbursment , Payer , Aetna , Aetna , American Health Advantage , Ambetter , BCBS , BCBS , BCBS , BCBS , BCBS , Cigna , Cigna , Cigna , CorVel , CorVel , Employers Health Network , HealthSmart , HealthSmart , Humana , Humana , Hunt Regional , Imagine Health , Midland Memorial , MultiPlan , Scott&White , Scott&White , Scott&White , Scott&White , Scott&White , Scott&White , Scott&White , Sedgwick , Superior , UMH , United , United , United , VA/Triwest , WellMed 
425000067,Metronidazole 500 mg tab,250,N/A,17.00,6.80,8.33,14.45,,9.35,**,**,**,**,**,**,**,**,9.86,8.33,**,**,14.45,9.35,12.75,12.75,11.90,**,9.35,9.01,11.56,12.75,**,**,**,8.84,8.33,9.35,9.86,**,**,9.86,11.90,**,10.71,**,**
425000068,Fleet Enema (for adults),250,N/A,7.00,2.80,3.43,5.95,,3.85,**,**,**,**,**,**,**,**,4.06,3.43,**,**,5.95,3.85,5.25,5.25,4.90,**,3.85,3.71,4.76,5.25,**,**,**,3.64,3.43,3.85,4.06,**,**,4.06,4.90,**,4.41,**,**
425000069,Cyclobenzaprine 5 mg tablet,250,N/A,6.00,2.40,2.94,5.10,,3.30,**,**,**,**,**,**,**,**,3.48,2.94,**,**,5.10,3.30,4.50,4.50,4.20,**,3.30,3.18,4.08,4.50,**,**,**,3.12,2.94,3.30,3.48,**,**,3.48,4.20,**,3.78,**,**
425000070,Ful-Glo (Fluorescein strips),250,N/A,5.00,2.00,2.45,4.25,,2.75,**,**,**,**,**,**,**,**,2.90,2.45,**,**,4.25,2.75,3.75,3.75,3.50,**,2.75,2.65,3.40,3.75,**,**,**,2.60,2.45,2.75,2.90,**,**,2.90,3.50,**,3.15,**,**
425000071,Folic Acid 1 mg tablet,250,N/A,5.00,2.00,2.45,4.25,,2.75,**,**,**,**,**,**,**,**,2.90,2.45,**,**,4.25,2.75,3.75,3.75,3.50,**,2.75,2.65,3.40,3.75,**,**,**,2.60,2.45,2.75,2.90,**,**,2.90,3.50,**,3.15,**,**
425000073,Gentamycin eye drops,250,N/A,61.00,24.40,29.89,51.85,,33.55,**,**,**,**,**,**,**,**,35.38,29.89,**,**,51.85,33.55,45.75,45.75,42.70,**,33.55,32.33,41.48,45.75,**,**,**,31.72,29.89,33.55,35.38,**,**,35.38,42.70,**,38.43,**,**
425000074,Glycerin Pediatric suppository,250,N/A,3.00,1.20,1.47,2.55,,1.65,**,**,**,**,**,**,**,**,1.74,1.47,**,**,2.55,1.65,2.25,2.25,2.10,**,1.65,1.59,2.04,2.25,**,**,**,1.56,1.47,1.65,1.74,**,**,1.74,2.10,**,1.89,**,**
425000077,Multivitamin 10mL inj,250,N/A,54.00,21.60,26.46,45.90,,29.70,**,**,**,**,**,**,**,**,31.32,26.46,**,**,45.90,29.70,40.50,40.50,37.80,**,29.70,28.62,36.72,40.50,**,**,**,28.08,26.46,29.70,31.32,**,**,31.32,37.80,**,34.02,**,**
425000079,Potassium Chloride 20mEq/100mL premix (per 2 mEq),250,J3480,1.00,0.40,0.49,0.85,,0.55,**,**,**,**,**,**,**,**,0.58,0.49,**,**,0.85,0.55,0.75,0.75,0.70,**,0.55,0.53,0.68,0.75,**,**,**,0.52,0.49,0.55,0.58,**,**,0.58,0.70,**,0.63,**,**
425000080,Metformin 500 mg tab,250,N/A,3.00,1.20,1.47,2.55,,1.65,**,**,**,**,**,**,**,**,1.74,1.47,**,**,2.55,1.65,2.25,2.25,2.10,**,1.65,1.59,2.04,2.25,**,**,**,1.56,1.47,1.65,1.74,**,**,1.74,2.10,**,1.89,**,**
425000081,"LET (lidocaine, epinephrine, tetracaine) solution",250,N/A,25.00,10.00,12.25,21.25,,13.75,**,**,**,**,**,**,**,**,14.50,12.25,**,**,21.25,13.75,18.75,18.75,17.50,**,13.75,13.25,17.00,18.75,**,**,**,13.00,12.25,13.75,14.50,**,**,14.50,17.50,**,15.75,**,**
425000082,Albuterol 2.5mg/3ml UD,250,N/A,6.00,2.40,2.94,5.10,,3.30,**,**,**,**,**,**,**,**,3.48,2.94,**,**,5.10,3.30,4.50,4.50,4.20,**,3.30,3.18,4.08,4.50,**,**,**,3.12,2.94,3.30,3.48,**,**,3.48,4.20,**,3.78,**,**
425000083,Ketamine 500mg/10mL inj,250,N/A,59.00,23.60,28.91,50.15,,32.45,**,**,**,**,**,**,**,**,34.22,28.91,**,**,50.15,32.45,44.25,44.25,41.30,**,32.45,31.27,40.12,44.25,**,**,**,30.68,28.91,32.45,34.22,**,**,34.22,41.30,**,37.17,**,**
425000084,Labetalol 5 mg/ml 20 ml inj MDV,250,N/A,22.00,8.80,10.78,18.70,,12.10,**,**,**,**,**,**,**,**,12.76,10.78,**,**,18.70,12.10,16.50,16.50,15.40,**,12.10,11.66,14.96,16.50,**,**,**,11.44,10.78,12.10,12.76,**,**,12.76,15.40,**,13.86,**,**
425000085,Furosemide 20 mg tab,250,N/A,5.00,2.00,2.45,4.25,,2.75,**,**,**,**,**,**,**,**,2.90,2.45,**,**,4.25,2.75,3.75,3.75,3.50,**,2.75,2.65,3.40,3.75,**,**,**,2.60,2.45,2.75,2.90,**,**,2.90,3.50,**,3.15,**,**
425000086,Losartan 50 mg tab,250,N/A,5.00,2.00,2.45,4.25,,2.75,**,**,**,**,**,**,**,**,2.90,2.45,**,**,4.25,2.75,3.75,3.75,3.50,**,2.75,2.65,3.40,3.75,**,**,**,2.60,2.45,2.75,2.90,**,**,2.90,3.50,**,3.15,**,**
425000087,Levsin 0.5 mg/ml inj,250,J1980,201.00,80.40,98.49,170.85,,110.55,**,**,**,**,**,**,**,**,116.58,98.49,**,**,170.85,110.55,150.75,150.75,140.70,**,110.55,106.53,136.68,150.75,**,**,**,104.52,98.49,110.55,116.58,**,**,116.58,140.70,**,126.63,**,**
425000089,Levaquin 500 mg/100 ml IV,250,J1956,316.00,126.40,154.84,268.60,,173.80,**,**,**,**,**,**,**,**,183.28,154.84,**,**,268.60,173.80,237.00,237.00,221.20,**,173.80,167.48,214.88,237.00,**,**,**,164.32,154.84,173.80,183.28,**,**,183.28,221.20,**,199.08,**,**
425000090,Norepinephrine 4mg/4mL inj,250,N/A,36.00,14.40,17.64,30.60,,19.80,**,**,**,**,**,**,**,**,20.88,17.64,**,**,30.60,19.80,27.00,27.00,25.20,**,19.80,19.08,24.48,27.00,**,**,**,18.72,17.64,19.80,20.88,**,**,20.88,25.20,**,22.68,**,**
425000092,Lidocaine Topical 4% soln 50ml bottle,250,N/A,57.00,22.80,27.93,48.45,,31.35,**,**,**,**,**,**,**,**,33.06,27.93,**,**,48.45,31.35,42.75,42.75,39.90,**,31.35,30.21,38.76,42.75,**,**,**,29.64,27.93,31.35,33.06,**,**,33.06,39.90,**,35.91,**,**
425000093,"Lidocaine 1% w/EPI 1:100,000 inj 20 ml vial",250,N/A,26.00,10.40,12.74,22.10,,14.30,**,**,**,**,**,**,**,**,15.08,12.74,**,**,22.10,14.30,19.50,19.50,18.20,**,14.30,13.78,17.68,19.50,**,**,**,13.52,12.74,14.30,15.08,**,**,15.08,18.20,**,16.38,**,**
425000095,"Lidocaine 2% w/EPI 1:100,000 inj 20 ml vial",250,N/A,28.00,11.20,13.72,23.80,,15.40,**,**,**,**,**,**,**,**,16.24,13.72,**,**,23.80,15.40,21.00,21.00,19.60,**,15.40,14.84,19.04,21.00,**,**,**,14.56,13.72,15.40,16.24,**,**,16.24,19.60,**,17.64,**,**
425000096,Lidocaine 2% inj 20 ml,250,N/A,10.00,4.00,4.90,8.50,,5.50,**,**,**,**,**,**,**,**,5.80,4.90,**,**,8.50,5.50,7.50,7.50,7.00,**,5.50,5.30,6.80,7.50,**,**,**,5.20,4.90,5.50,5.80,**,**,5.80,7.00,**,6.30,**,**
425000097,Lidocaine 2% w/EPI inj 30 ml,250,N/A,35.00,14.00,17.15,29.75,,19.25,**,**,**,**,**,**,**,**,20.30,17.15,**,**,29.75,19.25,26.25,26.25,24.50,**,19.25,18.55,23.80,26.25,**,**,**,18.20,17.15,19.25,20.30,**,**,20.30,24.50,**,22.05,**,**
425000098,Diphenoxylate/Atropine tab,250,N/A,4.00,1.60,1.96,3.40,,2.20,**,**,**,**,**,**,**,**,2.32,1.96,**,**,3.40,2.20,3.00,3.00,2.80,**,2.20,2.12,2.72,3.00,**,**,**,2.08,1.96,2.20,2.32,**,**,2.32,2.80,**,2.52,**,**
425000099,Metoprolol 50 mg tab,250,N/A,8.00,3.20,3.92,6.80,,4.40,**,**,**,**,**,**,**,**,4.64,3.92,**,**,6.80,4.40,6.00,6.00,5.60,**,4.40,4.24,5.44,6.00,**,**,**,4.16,3.92,4.40,4.64,**,**,4.64,5.60,**,5.04,**,**
425000100,Metoprolol 5mg/5mL inj,250,N/A,17.00,6.80,8.33,14.45,,9.35,**,**,**,**,**,**,**,**,9.86,8.33,**,**,14.45,9.35,12.75,12.75,11.90,**,9.35,9.01,11.56,12.75,**,**,**,8.84,8.33,9.35,9.86,**,**,9.86,11.90,**,10.71,**,**
425000101,Hydrocodone 2.5mg/Acetaminophen 108mg/5mL UD elixir,250,N/A,25.00,10.00,12.25,21.25,,13.75,**,**,**,**,**,**,**,**,14.50,12.25,**,**,21.25,13.75,18.75,18.75,17.50,**,13.75,13.25,17.00,18.75,**,**,**,13.00,12.25,13.75,14.50,**,**,14.50,17.50,**,15.75,**,**
425000103,Magnesium citrate 10 oz,250,N/A,11.00,4.40,5.39,9.35,,6.05,**,**,**,**,**,**,**,**,6.38,5.39,**,**,9.35,6.05,8.25,8.25,7.70,**,6.05,5.83,7.48,8.25,**,**,**,5.72,5.39,6.05,6.38,**,**,6.38,7.70,**,6.93,**,**
425000105,Marcaine 0.5% inj 30 ml,250,N/A,49.00,19.60,24.01,41.65,,26.95,**,**,**,**,**,**,**,**,28.42,24.01,**,**,41.65,26.95,36.75,36.75,34.30,**,26.95,25.97,33.32,36.75,**,**,**,25.48,24.01,26.95,28.42,**,**,28.42,34.30,**,30.87,**,**
425000106,Ibuprofen 200 mg tab,250,N/A,7.00,2.80,3.43,5.95,,3.85,**,**,**,**,**,**,**,**,4.06,3.43,**,**,5.95,3.85,5.25,5.25,4.90,**,3.85,3.71,4.76,5.25,**,**,**,3.64,3.43,3.85,4.06,**,**,4.06,4.90,**,4.41,**,**
425000108,Ibuprofen Susp 100 mg/5ml,250,N/A,34.00,13.60,16.66,28.90,,18.70,**,**,**,**,**,**,**,**,19.72,16.66,**,**,28.90,18.70,25.50,25.50,23.80,**,18.70,18.02,23.12,25.50,**,**,**,17.68,16.66,18.70,19.72,**,**,19.72,23.80,**,21.42,**,**
425000109,Nitropress 50mg/2ml inj,250,N/A,124.00,49.60,60.76,105.40,,68.20,**,**,**,**,**,**,**,**,71.92,60.76,**,**,105.40,68.20,93.00,93.00,86.80,**,68.20,65.72,84.32,93.00,**,**,**,64.48,60.76,68.20,71.92,**,**,71.92,86.80,**,78.12,**,**
425000110,"Bupivacaine w/EPI 0.5%/1:200,000 inj 30 ml",250,N/A,14.00,5.60,6.86,11.90,,7.70,**,**,**,**,**,**,**,**,8.12,6.86,**,**,11.90,7.70,10.50,10.50,9.80,**,7.70,7.42,9.52,10.50,**,**,**,7.28,6.86,7.70,8.12,**,**,8.12,9.80,**,8.82,**,**
425000111,Nitro-bid 2% oint,250,N/A,361.00,144.40,176.89,306.85,,198.55,**,**,**,**,**,**,**,**,209.38,176.89,**,**,306.85,198.55,270.75,270.75,252.70,**,198.55,191.33,245.48,270.75,**,**,**,187.72,176.89,198.55,209.38,**,**,209.38,252.70,**,227.43,**,**
425000113,Nitroglycerin in Dextrose inj 50 mg/250ml Premixed bottle,250,N/A,84.00,33.60,41.16,71.40,,46.20,**,**,**,**,**,**,**,**,48.72,41.16,**,**,71.40,46.20,63.00,63.00,58.80,**,46.20,44.52,57.12,63.00,**,**,**,43.68,41.16,46.20,48.72,**,**,48.72,58.80,**,52.92,**,**
